date, iphone_doc, ipad_doc, android_doc, apad_doc, android_sofe, android_sofe_0227 apad_sofe, win7_sofe, wm_sofe, wid3_sofe, wid5_sofe, kjava_sofe, kjava_touchsofe, androidpaike, androidpaike_doc, androidpaike1.2, androidpaike1.2.2, iphonepaike_doc, androidpaike1.3
20120301, 52, 12, 140, 47, 234, 2632, 1005, 62, 1371, 3773, 8629, 3890, 46, 42, 587, 2, 4220, 224 , 0
20120302, 8, 29, 196, 68, 46, 3060, 1217, 101, 1462, 3448, 7951, 3502, 61, 15, 769, 17, 5082, 155 , 0
20120303, 13, 20, 188, 69, 44, 3214, 1136, 55, 1516, 3329, 7755, 3939, 38, 50, 790, 13, 5095, 212 , 0
20120304, 35, 10, 224, 69, 83, 6973, 1325, 136, 1406, 3139, 6973, 3506, 86, 38, 843, 0, 5185, 156 , 0
20120305, 67, 15, 124, 52, 53, 2603, 1242, 140, 1271, 3070, 6542, 2966, 46, 0, 684, 2, 3978, 196 , 0
20120306, 63, 70, 297, 71, 24, 3029, 1088, 95, 1319, 3043, 6986, 2771, 74, 0, 791, 0, 3895, 113 , 0
20120307, 14, 21, 147, 188, 59, 2862, 1149, 41, 1395, 2910, 6613, 2984, 29, 1, 624, 10, 3662, 176 , 0
20120308, 38, 9, 193, 63, 42, 2942, 1032, 79, 1215, 2931, 6266, 2865, 37, 2, 593, 11, 4025, 154 , 0
20120309, 12, 39, 143, 74, 58, 2611, 1129, 61, 1114, 2764, 6017, 3004, 78, 14, 583, 19, 4198, 139 , 0
20120310, 17, 3, 242, 75, 88, 3252, 1347, 138, 1352, 2976, 6354, 3339, 51, 0, 627, 3, 4288, 248 , 0
20120311, 11, 9, 204, 111, 23, 3997, 1603, 76, 1326, 2917, 6888, 3052, 89, 35, 875, 5, 4846, 254 , 0
20120312, 11, 17, 147, 83, 45, 3499, 1348, 116, 1267, 3240, 6224, 3080, 30, 12, 810, 0, 5208, 189 , 0
20120313, 22, 55, 152, 78, 30, 3119, 1164, 32, 1280, 3609, 7303, 3386, 54, 42, 752, 5, 4655, 190 , 0
20120314, 12, 13, 211, 86, 15, 3011, 1207, 20, 1039, 3298, 7140, 3273, 22, 19, 800, 2, 4150, 175 , 0
20120315, 11, 8, 208, 53, 47, 2493, 835, 92, 1284, 3274, 6832, 3206, 34, 42, 1010, 7, 4274, 149 , 0
20120316, 36, 33, 186, 103, 105, 2932, 1328, 104, 1266, 3042, 6810, 3248, 56, 63, 884, 1, 2446, 148 , 2177
20120317, 29, 35, 106, 125, 9, 3404, 1498, 37, 1246, 3008, 6537, 3405, 91, 0, 616, 9, 136, 232 , 4428
20120318, 28, 3, 232, 136, 133, 3232, 1181, 64, 1314, 3250, 6941, 3169, 36, 1, 933, 5, 118, 138 , 4844
20120319, 53, 4, 194, 54, 30, 2967, 787, 88, 1192, 2690, 5962, 2621, 42, 5, 815, 1, 62, 205 , 4421
20120320, 53, 13, 214, 131, 84, 2503, 993, 82, 1188, 2824, 6128, 2727, 37, 0, 717, 0, 43, 188 , 3771
20120321, 27, 13, 202, 81, 7, 2750, 1027, 97, 1059, 2826, 6333, 2818, 21, 0, 624, 0, 82, 197 , 3591
20120322, 6, 21, 112, 53, 73, 3135, 1026, 66, 1104, 2893, 6565, 2999, 25, 1, 658, 3, 94, 226 , 4347
20120323, 15, 29, 191, 64, 78, 2754, 952, 100, 1181, 3014, 6040, 2938, 38, 0, 775, 6, 88, 191 , 3437
20120324, 31, 39, 199, 68, 19, 3161, 1028, 96, 1164, 2807, 5861, 2848, 55, 1, 849, 0, 184, 196 , 4245
20120325, 21, 94, 268, 111, 14, 3073, 1443, 71, 1229, 2837, 5979, 2826, 59, 60, 860, 11, 122, 218 , 6674
20120326, 31, 54, 222, 54, 9, 2479, 1056, 53, 916, 2633, 5700, 2421, 23, 1, 771, 12, 57, 311 , 4264
20120327, 20, 20, 122, 87, 32, 2422, 986, 134, 1144, 2609, 5857, 2690, 20, 0, 701, 1, 76, 193 , 4634
20120328, 35, 58, 146, 43, 8, 2584, 1057, 85, 1202, 2959, 6015, 2879, 27, 3, 691, 19, 45, 128 , 3600
20120329, 36, 67, 117, 63, 63, 2713, 892, 196, 1212, 2953, 6467, 2963, 46, 0, 639, 0, 76, 360 , 3666
20120330, 27, 42, 202, 55, 137, 2422, 984, 576, 1006, 2966, 6665, 3114, 60, 0, 759, 0, 21, 274 , 3931
